Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-October-2024,422.50,429.50,415.00,425.80,423.035884566573835795,907744,21264,384008286.00,297693,32.79,14.50,3.30
25-October-2024,438.50,438.50,414.85,422.40,422.072108817955822252,744583,13035,314267717.00,221707,29.78,23.65,-16.10
24-October-2024,437.75,440.95,432.20,437.80,436.574327892462794047,333280,5755,145501492.00,95382,28.62,8.75,0.05
23-October-2024,436.05,442.90,430.30,437.45,438.981649378696564931,1194183,20818,524224423.00,545585,45.69,12.60,1.40
22-October-2024,453.75,454.00,434.05,436.00,443.766561287023901255,416589,9225,184868268.00,118494,28.44,19.95,-17.75
21-October-2024,454.65,465.55,449.55,453.75,458.075637072966374068,763845,8762,349898785.00,332102,43.48,16.00,-0.90
18-October-2024,450.05,456.30,443.00,453.50,452.686891341556985185,965751,10479,437182818.00,611988,63.37,13.30,3.45
17-October-2024,461.60,462.70,449.20,450.05,452.521083949747563696,1064625,19728,481765259.00,758973,71.29,13.50,-11.55
16-October-2024,463.00,469.25,457.35,460.35,461.568253961742048567,975013,17017,450035048.00,558073,57.24,11.90,-2.65
15-October-2024,463.00,474.30,461.00,463.50,465.163007385712576200,1161567,23417,540317999.00,637800,54.91,13.30,0.50
14-October-2024,464.70,464.70,458.50,462.35,460.874060801861685667,646296,7072,297861062.00,407679,63.08,6.20,-2.35
11-October-2024,465.90,467.10,459.20,461.00,462.139427526141444893,462484,7653,213732091.00,195536,42.28,7.90,-4.90
10-October-2024,457.05,477.80,455.90,465.50,468.571935748921746624,1817059,43113,851422853.00,946634,52.10,21.90,8.45
9-October-2024,460.00,470.30,452.65,460.90,462.979478663103739446,676223,10593,313077372.00,167029,24.70,17.65,0.90
8-October-2024,441.10,460.80,439.65,456.40,454.541937489709629780,1196507,19195,543862610.00,549984,45.97,21.15,15.30
7-October-2024,467.10,469.00,438.90,441.05,447.749988921138427224,2459639,65245,1101303335.00,1131301,45.99,30.10,-26.05
4-October-2024,471.15,474.40,460.60,466.70,468.311490608655677246,778749,10839,364697105.00,247714,31.81,13.80,-4.45
3-October-2024,469.95,477.95,464.50,471.70,471.288242866085253987,849884,14932,400540337.00,280614,33.02,13.45,1.75
1-October-2024,487.75,491.25,479.95,481.00,485.003627384256867265,1403215,27426,680564365.00,549001,39.12,11.30,-6.75
30-September-2024,486.00,489.00,473.65,482.70,481.915551009837954543,687338,12655,331238871.00,179787,26.16,15.35,-3.30
27-September-2024,481.75,494.85,477.50,485.10,485.575105648496805792,1646261,21038,799383359.00,531978,32.31,17.35,3.35
26-September-2024,468.30,477.65,465.60,475.90,473.424758614580565151,790230,14149,374114447.00,196203,24.83,12.05,7.60
25-September-2024,469.20,470.85,460.25,468.10,465.556409160067967526,720344,10274,335360766.00,175609,24.38,10.60,-1.10
24-September-2024,455.85,474.15,453.40,467.70,466.483605446608899602,2302350,38253,1074008529.00,737871,32.05,20.75,11.85
23-September-2024,444.45,460.00,444.45,454.35,455.028211110256697763,2951993,60154,1343240094.00,1959831,66.39,15.55,9.90
20-September-2024,441.35,446.45,439.35,444.20,444.098845930972483225,923255,14623,410016480.00,631877,68.44,7.10,2.85
19-September-2024,442.50,450.50,430.80,439.30,440.643995096904643312,1080134,24307,475954561.00,475254,44.00,19.70,-3.20
18-September-2024,445.50,447.00,438.00,440.65,442.555931292216181532,345987,7379,153118599.00,112909,32.63,9.00,-4.85
17-September-2024,443.80,450.85,439.65,445.05,445.123291964815642234,599812,14246,266990292.00,356800,59.49,11.20,1.25
16-September-2024,443.20,451.60,440.25,443.30,445.393785942301572818,1090463,22567,485685444.00,651949,59.79,11.35,0.10
13-September-2024,446.55,449.50,441.00,441.85,445.019999823603602014,1133810,11630,504568126.00,695912,61.38,8.50,-4.70
12-September-2024,438.05,443.00,436.00,439.80,438.965995874684731799,992409,20592,435633805.00,569974,57.43,7.00,1.75
11-September-2024,446.00,448.90,433.00,435.80,441.061279380794741869,1079319,16339,476045819.00,513324,47.56,15.90,-10.20
10-September-2024,422.00,446.95,420.00,445.20,436.973264683438448607,4100419,79392,1791773477.00,2339222,57.05,26.95,23.20
9-September-2024,416.95,418.95,411.15,417.85,414.611149074543162458,339508,8544,140763802.00,91000,26.80,7.80,0.90
6-September-2024,420.55,421.25,414.65,416.95,419.466670059752236891,982390,7733,412079862.00,758552,77.21,6.60,-3.60
5-September-2024,421.95,424.00,419.30,420.45,421.614103088812384139,789203,9585,332739115.00,586861,74.36,4.70,-1.50
4-September-2024,429.25,429.60,419.95,420.65,423.166150689774257555,489363,9769,207081857.00,249015,50.89,9.65,-8.60
3-September-2024,434.75,434.75,431.35,433.80,433.598561632554892985,382517,10380,165858821.00,291826,76.29,3.40,-0.95
2-September-2024,435.35,436.60,429.50,433.05,433.439171040042913128,499614,8432,216552278.00,307635,61.57,7.10,-2.30
30-August-2024,432.00,436.00,431.55,434.55,434.223985217834459700,1022313,25801,443912825.00,687257,67.23,4.45,2.55
29-August-2024,430.40,433.00,424.75,430.95,430.348016839386546878,467713,7030,201279362.00,225917,48.30,8.25,0.55
28-August-2024,430.00,434.10,428.60,431.25,430.977155987107960438,1491463,8727,642786482.00,1161051,77.85,5.50,1.25
27-August-2024,422.45,429.60,421.10,428.00,425.099321801960067794,1179449,7296,501382970.00,876276,74.30,8.50,5.55
26-August-2024,420.10,423.45,417.00,422.45,419.522224529655926585,760826,18364,319183416.00,398843,52.42,6.45,2.35
23-August-2024,423.00,423.00,417.40,418.00,419.501885193259614922,228889,5878,96019367.00,102886,44.95,5.60,-5.00
22-August-2024,426.00,426.05,421.90,422.85,423.515824083434256488,199822,5090,84627779.00,80064,40.07,4.15,-3.15
21-August-2024,427.00,427.00,421.75,424.30,424.645319226063709275,441380,7337,187429951.00,151293,34.28,5.25,-2.70
20-August-2024,418.00,423.90,416.70,422.20,419.954091983521307489,370175,6448,155456506.00,118315,31.96,7.20,4.20
19-August-2024,417.00,421.00,415.15,418.80,418.131138809509333009,411175,7411,171925071.00,139005,33.81,5.85,1.80
16-August-2024,408.40,414.25,406.75,413.50,410.618951976914155380,980341,22662,402546594.00,466582,47.59,7.50,5.10
14-August-2024,410.00,412.90,403.10,405.55,407.301892322047611454,1354632,31151,551744177.00,445761,32.91,9.80,-4.45
13-August-2024,420.50,420.50,406.50,408.30,412.255966946735795031,1383706,45942,570441055.00,733022,52.98,14.00,-12.20
12-August-2024,416.80,422.80,411.15,418.15,416.873204699247968350,1237049,31545,515692581.00,525200,42.46,11.65,1.35
9-August-2024,425.30,425.30,416.30,417.80,419.881945726020695012,1165015,29206,489168765.00,538136,46.19,9.00,-7.50
8-August-2024,432.90,432.90,417.10,418.00,421.923427127304026151,1092110,21773,460786794.00,451049,41.30,15.80,-14.90
7-August-2024,444.00,445.00,426.15,430.25,431.629334245214793154,2418443,50992,1043870942.00,899459,37.19,18.85,-13.75
6-August-2024,436.15,449.10,433.50,436.80,442.300034621189288271,892517,14298,394760300.00,255193,28.59,15.60,0.65
5-August-2024,445.00,452.60,430.30,434.70,439.826755954089701499,1724319,31159,758401632.00,563673,32.69,22.30,-10.30
2-August-2024,460.80,470.85,452.55,460.30,463.039035630838058466,1334883,22179,618102937.00,288567,21.62,18.30,-0.50
1-August-2024,454.55,466.00,454.00,464.35,460.498805634832398297,3469207,67573,1597565680.00,2020811,58.25,12.00,9.80
31-July-2024,445.75,454.95,445.50,453.65,451.330916757159538554,1100455,16484,496669364.00,557735,50.68,9.45,7.90
30-July-2024,442.00,449.00,440.35,444.05,445.594690698193859467,1562503,30587,696243041.00,996185,63.76,8.65,2.05
29-July-2024,447.95,450.20,440.95,442.25,444.741790304653880133,877225,15089,390138617.00,357265,40.73,9.25,-5.70
26-July-2024,431.25,446.20,430.00,444.65,440.450020210140040374,1761492,24937,775849187.00,624450,35.45,16.20,13.40
25-July-2024,415.40,425.55,413.00,422.40,420.924383422505793825,559216,10412,235387650.00,260221,46.53,12.55,7.00
24-July-2024,416.90,424.95,415.55,419.75,419.350469418351742141,799074,10436,335092057.00,418082,52.32,9.40,2.85
23-July-2024,429.55,429.55,400.00,416.35,415.865646060189582318,2246834,56230,934381073.00,847619,37.72,29.55,-13.20
22-July-2024,414.35,425.20,409.70,424.25,419.152004211448587379,543281,12489,227717320.00,204733,37.68,15.50,9.90
19-July-2024,430.00,430.00,412.80,414.15,419.410678190321826448,2027366,62231,850298949.00,1017940,50.21,17.20,-15.85
18-July-2024,441.00,441.00,429.05,430.00,432.085234621616194626,1230087,31714,531502430.00,558793,45.43,11.95,-11.00
16-July-2024,441.00,445.25,436.15,436.90,441.421937942678595198,428217,7854,189024378.00,139970,32.69,9.10,-4.10
15-July-2024,435.90,442.40,431.00,439.20,436.523659344209336133,990560,23381,432402876.00,530009,53.51,11.40,3.30
12-July-2024,441.35,442.10,432.45,434.05,437.388559158463617062,331584,6784,145031048.00,172130,51.91,9.65,-7.30
11-July-2024,438.55,444.50,436.30,440.35,440.980965307033523021,389762,7152,171877623.00,172350,44.22,8.20,1.80
10-July-2024,439.50,442.20,426.90,437.25,435.552271031979619218,419611,8763,182762524.00,160046,38.14,15.30,-2.25
9-July-2024,437.20,441.75,434.55,438.80,438.479490071095856827,917775,22465,402425514.00,554258,60.39,7.20,1.60
8-July-2024,440.50,443.90,432.00,433.50,437.221872741725682902,553520,10480,242011051.00,270673,48.90,11.90,-7.00
5-July-2024,436.50,440.20,433.95,439.80,438.086913862662165623,1475806,28212,646531296.00,1047576,70.98,6.25,3.30
4-July-2024,434.15,442.25,433.20,436.50,437.027035202688395295,727274,8211,317838400.00,287004,39.46,9.05,2.35
3-July-2024,433.00,435.45,430.85,433.80,432.222698678809533489,1254399,14699,542179721.00,961702,76.67,4.60,0.80
2-July-2024,436.00,436.95,428.15,432.65,431.932843185164400361,634366,11003,274003510.00,372575,58.73,8.80,-3.35
1-July-2024,440.60,441.65,434.45,435.15,436.466287662214332036,1016171,15764,443524384.00,740592,72.88,7.20,-5.45
28-June-2024,440.55,444.60,438.30,440.50,440.815413807423000859,486434,7851,214427605.00,229041,47.09,6.30,-0.05
27-June-2024,432.00,443.00,426.50,437.75,432.047522088344877863,940994,16007,406554126.00,619253,65.81,16.50,5.75
26-June-2024,430.65,435.75,429.00,431.70,432.524365373883569799,1166553,16084,504562596.00,916315,78.55,6.75,1.05
25-June-2024,435.70,437.90,429.90,430.70,433.006217828450473853,831480,22653,360036010.00,363301,43.69,8.00,-5.00
24-June-2024,435.35,439.50,432.15,435.70,436.562948620504086059,901235,20492,393445809.00,483438,53.64,7.35,0.35
21-June-2024,444.00,445.05,437.70,438.70,440.943049993670000466,300158,6800,132352584.00,142060,47.33,7.35,-5.30
20-June-2024,443.00,446.50,436.60,443.55,443.593009757821473097,814936,14646,361499913.00,581375,71.34,9.90,0.55
19-June-2024,451.55,452.55,441.50,442.30,444.783593434404712794,700561,12146,311598039.00,420917,60.08,11.05,-9.25
18-June-2024,450.45,453.65,448.20,451.55,451.152603507812232896,350988,7465,158349150.00,165427,47.13,5.45,1.10
14-June-2024,452.20,453.45,447.55,448.60,449.890070660974532607,1385772,24420,623445063.00,948280,68.43,5.90,-3.60
13-June-2024,456.55,457.95,449.55,452.20,453.043783552105432029,835268,9924,378412975.00,495434,59.31,8.40,-4.35
12-June-2024,451.40,453.70,448.50,449.55,450.691639770237825848,1427389,20131,643312289.00,870981,61.02,5.20,-1.85
11-June-2024,448.80,453.65,447.00,448.45,449.720606416968616081,1027214,12072,461959303.00,623237,60.67,6.65,-0.35
10-June-2024,449.50,458.45,445.15,447.90,451.938053143937200229,1139622,15650,515038548.00,470115,41.25,13.30,-1.60
7-June-2024,430.40,445.60,427.10,443.45,435.851253411028563294,990537,12305,431726793.00,535688,54.08,18.50,13.05
6-June-2024,430.65,438.50,426.05,431.50,432.674136080396490235,837549,14162,362385790.00,309653,36.97,12.45,0.85
5-June-2024,417.50,424.40,390.00,422.65,409.370374522677669821,3550012,61690,1453269742.00,1070269,30.15,34.40,5.15
4-June-2024,460.00,460.00,377.20,399.60,411.936349141620462418,3864724,79905,1592020295.00,1755281,45.42,82.80,-60.40
3-June-2024,456.55,459.95,447.35,456.50,454.930646207785327583,4031892,64297,1834231233.00,2629399,65.22,12.60,-0.05
31-May-2024,425.95,438.25,425.65,436.80,432.504809306698703837,938077,11668,405722814.00,442433,47.16,12.60,10.85
30-May-2024,433.40,433.40,422.80,425.15,428.893244328104891594,731193,12018,313603738.00,417040,57.04,10.60,-8.25
29-May-2024,435.00,439.50,432.10,432.80,434.675216930642423481,1178833,23018,512409490.00,692821,58.77,7.40,-2.20
28-May-2024,447.85,449.55,434.15,436.90,438.717013567444619985,739933,13251,324621196.00,435625,58.87,15.40,-10.95
27-May-2024,449.00,452.45,444.75,445.70,448.417897076064323085,1142980,24332,512532688.00,641616,56.14,7.70,-3.30
24-May-2024,449.50,452.90,446.15,447.35,448.957283906822750384,608904,8195,273371886.00,270674,44.45,6.75,-2.15
23-May-2024,450.50,452.25,445.60,449.00,448.838499796678031843,511504,8003,229582688.00,198910,38.89,6.65,-1.50
22-May-2024,442.00,449.75,436.45,447.60,445.818027768630359945,1478863,27004,659303786.00,891895,60.31,13.30,5.60
21-May-2024,443.00,446.35,440.20,441.70,443.362243383774529397,582923,9271,258446049.00,305432,52.40,6.15,-1.30
18-May-2024,437.40,443.40,436.40,441.25,440.469460833588275570,343215,9222,151175726.00,251284,73.21,7.00,3.85
17-May-2024,434.30,438.20,432.60,436.30,435.527962788725301811,377305,6162,164326878.00,172908,45.83,5.60,2.00
16-May-2024,434.60,436.15,426.75,433.90,431.539680118325353687,1120977,19913,483746056.00,438816,39.15,9.40,-0.70
15-May-2024,434.35,439.95,430.35,431.45,433.787179719199675888,972506,12066,421860635.00,321515,33.06,9.60,-2.90
14-May-2024,413.00,431.95,412.50,430.30,423.234311630992513166,1846575,33133,781533899.00,841405,45.57,19.45,17.30
13-May-2024,412.55,415.00,396.50,411.80,405.931004351022671118,1161566,21357,471515653.00,329951,28.41,18.50,-0.75
10-May-2024,415.00,418.25,404.05,414.75,412.326113669903259408,2575651,50202,1062008167.00,1140371,44.28,14.20,-0.25
9-May-2024,428.00,431.00,412.10,413.65,421.092376805969031805,4060424,84942,1709813593.00,1706955,42.04,18.90,-14.35
8-May-2024,435.15,441.25,430.05,435.45,437.473324702081830829,1035771,15487,453122183.00,400213,38.64,11.20,0.30
7-May-2024,449.00,449.00,432.35,436.30,438.391732531688347061,793036,17206,347660426.00,238250,30.04,16.65,-12.70
6-May-2024,459.55,459.55,442.50,446.15,449.611251059035652597,884059,14584,397482873.00,280620,31.74,17.05,-13.40
3-May-2024,462.65,464.30,448.65,454.60,458.169628058400363195,927323,15953,424871234.00,285543,30.79,15.65,-8.05
2-May-2024,450.40,459.95,449.30,457.70,456.096606566857774687,1059959,14392,483443703.00,383308,36.16,10.65,7.30
30-April-2024,451.95,455.20,448.35,449.10,452.083507870988182238,1994794,32250,901813469.00,947685,47.51,6.85,-2.85
29-April-2024,440.00,451.50,437.30,448.10,445.164667644720873543,1246693,13727,554983675.00,356515,28.60,14.20,8.10
26-April-2024,431.55,440.40,431.55,436.75,437.178963315739172258,1609246,27037,703528498.00,847640,52.67,8.85,5.20
25-April-2024,428.70,432.90,427.00,431.50,429.644815507802410336,952398,17411,409192863.00,420822,44.19,5.90,2.80
24-April-2024,431.55,432.70,427.05,428.35,430.093801627977087729,331700,5683,142662114.00,141718,42.72,5.65,-3.20
23-April-2024,431.70,432.25,427.90,429.40,430.015004466564573762,626880,8877,269567806.00,314191,50.12,4.35,-2.30
22-April-2024,433.90,435.10,426.90,427.90,429.148777325711306420,859264,10421,368752095.00,389261,45.30,8.20,-6.00
19-April-2024,425.75,431.70,419.05,428.00,426.270418763521645913,2260727,29161,963681045.00,739663,32.72,12.65,2.25
18-April-2024,434.95,442.95,427.05,429.90,437.063833435715485966,1452076,15579,634649903.00,544356,37.49,15.90,-5.05
16-April-2024,430.20,435.80,426.45,430.35,430.839833287087110894,1059546,12490,456494622.00,351556,33.18,9.35,0.15
15-April-2024,400.15,441.40,400.15,431.50,428.774708094653566661,5077759,74630,2177214633.00,2599444,51.19,41.25,31.35
12-April-2024,431.85,444.10,429.20,437.05,439.235906576418016525,1786915,16988,784877230.00,583500,32.65,14.90,5.20
10-April-2024,432.00,439.40,430.85,431.85,433.807503700270605648,1471514,16668,638353815.00,570312,38.76,8.55,-0.15
9-April-2024,417.75,436.25,416.60,429.75,424.930802278018357179,2624913,23079,1115406387.00,1054617,40.18,19.65,12.00
8-April-2024,417.80,418.85,414.95,416.30,416.725468483619510327,433473,6895,180639239.00,149404,34.47,3.90,-1.50
5-April-2024,414.15,415.35,408.10,414.50,412.378018849688669685,1024314,21932,422404578.00,539734,52.69,7.25,0.35
4-April-2024,416.00,419.90,411.00,414.15,416.078196497280828017,714188,10147,297158055.00,194544,27.24,8.90,-1.85
3-April-2024,409.55,415.30,407.25,412.15,412.284883488626988896,1276399,20812,526240013.00,572769,44.87,8.05,2.60
2-April-2024,407.35,412.25,406.85,408.90,409.820599699598852527,598533,8524,245291153.00,305012,50.96,5.40,1.55
1-April-2024,399.65,408.90,398.00,406.90,404.695769772916805042,813006,10744,329020089.00,222960,27.42,10.90,7.25
28-March-2024,391.85,399.00,390.85,394.15,395.804894910116532334,797032,8836,315469167.00,226751,28.45,8.15,2.30
27-March-2024,391.95,393.95,387.65,388.35,391.072732706593045705,880003,15650,344145178.00,399379,45.38,6.30,-3.60
